date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7328418,유니온블루,ANGLER FLEECE HALF-ZIP [MELANGE GRAY],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,94400,https://www.musinsa.com/products/7328418
2026-09-23,1,7328435,유니온블루,ANGLER FLEECE HALF-ZIP [SHARK GRAY],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,94400,https://www.musinsa.com/products/7328435
2026-09-23,1,7328464,유니온블루,ANGLER FLEECE HALF-ZIP [MELANGE PINK],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,94400,https://www.musinsa.com/products/7328464
2026-09-23,1,7328528,유니온블루,LAYERED V-NECK KNIT [BLACK],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,89600,https://www.musinsa.com/products/7328528
2026-09-23,1,7328550,유니온블루,LAYERED V-NECK KNIT [MELANGE GRAY],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,89600,https://www.musinsa.com/products/7328550
2026-09-23,1,7328586,유니온블루,LAYERED V-NECK KNIT [MELANGE BROWN],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,89600,https://www.musinsa.com/products/7328586
2026-09-23,1,7328610,유니온블루,LAYERED V-NECK KNIT [RED],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,89600,https://www.musinsa.com/products/7328610
2026-09-23,1,7328809,유니온블루,STAND COLLAR CORDUROY BLOUSON [NAVY],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,190400,https://www.musinsa.com/products/7328809
2026-09-23,1,7328834,유니온블루,STAND COLLAR CORDUROY BLOUSON [GRAYISH BROWN],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,190400,https://www.musinsa.com/products/7328834
2026-09-23,1,7328892,유니온블루,COVERALL JACKET [BLACK],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,206400,https://www.musinsa.com/products/7328892
2026-09-23,1,7328916,유니온블루,COVERALL JACKET [BROWN],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,206400,https://www.musinsa.com/products/7328916
2026-09-23,1,7329158,유니온블루,M65 FIELD JACKET [BLACK],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,243950,https://www.musinsa.com/products/7329158
2026-09-23,1,7329189,유니온블루,M65 FIELD JACKET [OLIVE],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,243950,https://www.musinsa.com/products/7329189
2026-09-23,1,7329280,렌세,Button Off-Shoulder Knit Charcoal,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,54400,https://www.musinsa.com/products/7329280
2026-09-23,1,7329337,렌세,Button Off-Shoulder Knit Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,54400,https://www.musinsa.com/products/7329337
2026-09-23,1,7329394,렌세,Cropped Collar Rugby Knit Khaki,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7329394
2026-09-23,1,7329420,렌세,Cropped Collar Rugby Knit Brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7329420
2026-09-23,1,7329503,렌세,Stripe Slim Fit Hoodie Brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,51200,https://www.musinsa.com/products/7329503
2026-09-23,1,7329752,렌세,Stripe Slim Fit Hoodie Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,51200,https://www.musinsa.com/products/7329752
2026-09-23,1,7329794,렌세,Snap Pleated Wrap Skirt Beige,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7329794
2026-09-23,1,7329805,렌세,Snap Pleated Wrap Skirt Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7329805
2026-09-23,1,7329827,렌세,Button Wrap Knit Ivory,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,52000,https://www.musinsa.com/products/7329827
2026-09-23,1,7329861,렌세,Button Wrap Knit Melange Gray,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,52000,https://www.musinsa.com/products/7329861
2026-09-23,1,7329948,렌세,Regular Fit Panel Stripe Shirt Ivory,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,49600,https://www.musinsa.com/products/7329948
2026-09-23,1,7329975,렌세,Regular Fit Panel Stripe Shirt Beige,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,49600,https://www.musinsa.com/products/7329975
2026-09-23,1,7330353,렌세,Tuck Line Frill One-Piece Ivory,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7330353
2026-09-23,1,7330392,렌세,Tuck Line Frill One-Piece Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,59200,https://www.musinsa.com/products/7330392
2026-09-23,1,7330446,렌세,Vintage Oversized Check Shirt Purple,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,44800,https://www.musinsa.com/products/7330446
2026-09-23,1,7330480,렌세,Vintage Oversized Check Shirt Brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,44800,https://www.musinsa.com/products/7330480
2026-09-23,1,7330516,렌세,Slim Fit Stitch Mock Neck Tee Khaki,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,39200,https://www.musinsa.com/products/7330516
2026-09-23,1,7330540,렌세,Slim Fit Stitch Mock Neck Tee Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,39200,https://www.musinsa.com/products/7330540
